CAS Diameter, Qscat (1.54 + 0)
    0.1, 1.48572780745e-06
   0.11, 2.68888265964e-06
   0.12, 4.63498236059e-06
   0.13, 7.66856919654e-06
   0.14, 1.22503306557e-05
   0.15, 1.89827733266e-05
   0.16, 2.86378399323e-05
   0.17, 4.2184627091e-05
   0.18, 6.08211812505e-05
   0.19, 8.59953943291e-05
    0.2, 0.000119436532259
   0.21, 0.000163173826877
   0.22, 0.000219565728912
   0.23, 0.000291322387056
   0.24, 0.000381559802918
   0.25, 0.000493870698847
   0.26, 0.000632429379039
   0.27, 0.000802172056865
   0.28, 0.00100901606493
   0.29, 0.00126013520639
    0.3, 0.00156425335445
   0.31, 0.00193188339472
   0.32, 0.00237538269721
   0.33, 0.00290855462663
   0.34, 0.00354570685886
   0.35, 0.00429973611608
   0.36, 0.00517937447876
   0.37, 0.00618614722043
   0.38, 0.00731186103076
   0.39, 0.00853884126991
    0.4, 0.00984389986843
   0.41, 0.0112054077908
   0.42, 0.0126120280474
   0.43, 0.0140686053783
   0.44, 0.0155988773331
   0.45, 0.0172437597066
   0.46, 0.0190582498908
   0.47, 0.0211086403579
   0.48, 0.0234697014093
   0.49, 0.0262232013047
    0.5, 0.0294542293996
   0.51, 0.0332449600101
   0.52, 0.0376605279744
   0.53, 0.0427268370986
   0.54, 0.0484026893973
   0.55, 0.0545557513833
   0.56, 0.0609623342752
   0.57, 0.0673457607627
   0.58, 0.0734482109547
   0.59, 0.0791058540344
    0.6, 0.0842870697379
   0.61, 0.0890859887004
   0.62, 0.0936866998672
   0.63, 0.0983271971345
   0.64, 0.10327795893
   0.65, 0.108835399151
   0.66, 0.115323796868
   0.67, 0.123093225062
   0.68, 0.132501006126
   0.69, 0.143859222531
    0.7, 0.157327994704
   0.71, 0.172761157155
   0.72, 0.18955591321
   0.73, 0.206640645862
   0.74, 0.222717866302
   0.75, 0.236706897616
   0.76, 0.248097613454
   0.77, 0.257003009319
   0.78, 0.263946443796
   0.79, 0.26960042119
    0.8, 0.274626761675
   0.81, 0.279639840126
   0.82, 0.285249322653
   0.83, 0.292135983706
   0.84, 0.301124244928
   0.85, 0.313206642866
   0.86, 0.329443782568
   0.87, 0.350625008345
   0.88, 0.376627862453
   0.89, 0.405713111162
    0.9, 0.434471487999
   0.91, 0.459053307772
   0.92, 0.47700124979
   0.93, 0.488073259592
   0.94, 0.493574053049
   0.95, 0.495217204094
   0.96, 0.494438141584
   0.97, 0.492262363434
   0.98, 0.489460319281
   0.99, 0.48679074645
      1, 0.485243856907
   1.01, 0.486275792122
   1.02, 0.491967082024
   1.03, 0.504905462265
   1.04, 0.527319312096
   1.05, 0.55903750658
   1.06, 0.595191240311
   1.07, 0.626995921135
   1.08, 0.647116720676
   1.09, 0.654148161411
    1.1, 0.651315450668
