CDP Diameter, Qscat (1.54 + 0.01)
   0.01, 1.51542851618e-12
   0.02, 9.73659625148e-11
   0.03, 1.1164862368e-09
   0.04, 6.32970076353e-09
   0.05, 2.44199735988e-08
   0.06, 7.39194661037e-08
   0.07, 1.89359823821e-07
   0.08, 4.29483407061e-07
   0.09, 8.87739361133e-07
    0.1, 1.70592011273e-06
   0.11, 3.09030792778e-06
   0.12, 5.33109323442e-06
   0.13, 8.82670792635e-06
   0.14, 1.41083719427e-05
   0.15, 2.1870702767e-05
   0.16, 3.29999820678e-05
   0.17, 4.86067001475e-05
   0.18, 7.00540913385e-05
   0.19, 9.89862819551e-05
    0.2, 0.000137354567414
   0.21, 0.000187440848094
   0.22, 0.000251886842307
   0.23, 0.000333739124471
   0.24, 0.000436520407675
   0.25, 0.000564331479836
   0.26, 0.000722024473362
   0.27, 0.00091541261645
   0.28, 0.00115155428648
   0.29, 0.00143902469426
    0.3, 0.00178809848148
   0.31, 0.00221078307368
   0.32, 0.0027202970814
   0.33, 0.00332997273654
   0.34, 0.00405115680769
   0.35, 0.00489063980058
   0.36, 0.00584765896201
   0.37, 0.00691255601123
   0.38, 0.00806800089777
   0.39, 0.00929418951273
    0.4, 0.0105760274455
   0.41, 0.0119107114151
   0.42, 0.013311621733
   0.43, 0.0148093737662
   0.44, 0.0164494588971
   0.45, 0.0182891190052
   0.46, 0.0203948803246
   0.47, 0.0228397101164
   0.48, 0.0257002338767
   0.49, 0.0290503948927
    0.5, 0.0329494923353
   0.51, 0.037424121052
   0.52, 0.0424432717264
   0.53, 0.0478990413249
   0.54, 0.0536058247089
   0.55, 0.059331998229
   0.56, 0.0648607164621
   0.57, 0.0700538903475
   0.58, 0.0748851895332
   0.59, 0.0794382616878
    0.6, 0.0838770195842
   0.61, 0.0884175524116
   0.62, 0.0933080464602
   0.63, 0.0988221019506
   0.64, 0.105254426599
   0.65, 0.112911231816
   0.66, 0.122078925371
   0.67, 0.132957607508
   0.68, 0.145555794239
   0.69, 0.159563168883
    0.7, 0.174285724759
   0.71, 0.188742801547
   0.72, 0.20195543766
   0.73, 0.213273197412
   0.74, 0.222540184855
   0.75, 0.230023115873
   0.76, 0.236222058535
   0.77, 0.241707906127
   0.78, 0.247049987316
   0.79, 0.252819746733
    0.8,  0.2596347332
   0.81, 0.268202453852
   0.82, 0.27932113409
   0.83, 0.293776929379
   0.84, 0.312063872814
   0.85, 0.33391803503
