CDP Diameter, Qscat (1.54 + 0)
   0.01, 1.51489270347e-12
   0.02, 9.73213523658e-11
   0.03, 1.11614273379e-09
   0.04, 6.32740215778e-09
   0.05, 2.44132500882e-08
   0.06, 7.39045091791e-08
   0.07, 1.89335949585e-07
   0.08, 4.29485965014e-07
   0.09, 8.87877661171e-07
    0.1, 1.70650525888e-06
   0.11, 3.09208485305e-06
   0.12, 5.33562342753e-06
   0.13, 8.83708162291e-06
   0.14, 1.41302325574e-05
   0.15, 2.1913965611e-05
   0.16, 3.30811053573e-05
   0.17, 4.87520846946e-05
   0.18, 7.03042242094e-05
   0.19, 9.94010770228e-05
    0.2, 0.00013802034664
   0.21, 0.000188476624317
   0.22, 0.000253452919424
   0.23, 0.000336045835866
   0.24, 0.000439837749582
   0.25, 0.00056900276104
   0.26, 0.000728487619199
   0.27, 0.000924238353036
   0.28, 0.00116351351608
   0.29, 0.00145519629586
    0.3, 0.00181004428305
   0.31, 0.00224080868065
   0.32, 0.00276177260093
   0.33, 0.00338769378141
   0.34, 0.0041315802373
   0.35, 0.00500178104267
   0.36, 0.00599834835157
   0.37, 0.00711093656719
   0.38, 0.00831951666623
   0.39, 0.00959983002394
    0.4, 0.0109317786992
   0.41, 0.0123086050153
   0.42, 0.0137420855463
   0.43, 0.0152639299631
   0.44, 0.0169230233878
   0.45, 0.0187817756087
   0.46, 0.020913284272
   0.47, 0.0233986973763
   0.48, 0.0263250600547
   0.49, 0.0297798253596
    0.5, 0.0338386446238
   0.51, 0.0385455973446
   0.52, 0.0438822582364
   0.53, 0.049739561975
   0.54, 0.0559078454971
   0.55, 0.0621077939868
   0.56, 0.068064019084
   0.57, 0.0735902488232
   0.58, 0.0786378234625
   0.59, 0.0832951590419
    0.6, 0.0877485349774
   0.61, 0.0922436341643
   0.62, 0.0970601066947
   0.63, 0.102506197989
   0.64,  0.1089194417
   0.65, 0.116664074361
   0.66, 0.126106530428
   0.67, 0.13754786551
   0.68, 0.151097565889
   0.69, 0.166493758559
    0.7, 0.182964086533
   0.71, 0.199287042022
   0.72, 0.214151874185
   0.73, 0.226644173265
   0.74, 0.236523479223
   0.75, 0.244133263826
   0.76, 0.250117212534
   0.77, 0.255175501108
   0.78, 0.259963333607
   0.79, 0.265104621649
    0.8, 0.271266281605
   0.81, 0.279243648052
   0.82, 0.290011405945
   0.83, 0.304666101933
   0.84, 0.324135810137
   0.85, 0.34854888916
   0.86, 0.376432240009
   0.87, 0.404470741749
   0.88, 0.428657978773
   0.89, 0.446306496859
    0.9, 0.457071214914
   0.91, 0.462281823158
   0.92, 0.463702052832
   0.93, 0.462789207697
   0.94, 0.460570633411
   0.95, 0.45782956481
   0.96, 0.455373317003
   0.97, 0.454302579165
   0.98, 0.456260114908
   0.99, 0.463563412428
      1, 0.478909671307
   1.01, 0.504059374332
   1.02, 0.537265956402
   1.03, 0.571532547474
   1.04, 0.597661197186
   1.05, 0.610682725906
   1.06, 0.611950278282
   1.07, 0.605624198914
   1.08, 0.595153808594
   1.09, 0.582328498363
    1.1, 0.567802011967
   1.11, 0.551847398281
   1.12, 0.534949064255
   1.13, 0.518223404884
   1.14, 0.50385081768
   1.15, 0.495511174202
   1.16, 0.498399853706
   1.17, 0.517218708992
   1.18, 0.550157606602
   1.19, 0.583472788334
    1.2, 0.600209236145
   1.21, 0.596479058266
   1.22, 0.580348908901
   1.23, 0.560177326202
   1.24, 0.539603948593
   1.25, 0.518738389015
   1.26, 0.496512830257
   1.27, 0.472227573395
   1.28, 0.446206301451
   1.29, 0.419972717762
    1.3, 0.396513491869
   1.31, 0.380902737379
   1.32, 0.380763471127
   1.33, 0.403238892555
   1.34, 0.442586153746
   1.35, 0.471299141645
   1.36, 0.46921017766
   1.37, 0.447504788637
   1.38, 0.424853801727
   1.39, 0.409086674452
    1.4, 0.398770689964
   1.41, 0.389037787914
   1.42, 0.376060277224
   1.43, 0.359112083912
   1.44, 0.340343534946
   1.45, 0.323687165976
   1.46, 0.314438849688
   1.47, 0.320065289736
   1.48, 0.350792706013
   1.49, 0.411613255739
    1.5, 0.474435597658
   1.51, 0.489838957787
   1.52, 0.469609439373
   1.53, 0.455941557884
   1.54, 0.464768201113
   1.55, 0.491479188204
   1.56, 0.522953093052
   1.57, 0.546226203442
   1.58, 0.556397140026
   1.59, 0.558054924011
    1.6, 0.56014162302
   1.61, 0.571572363377
   1.62, 0.601277291775
   1.63, 0.661430299282
   1.64, 0.768054783344
   1.65, 0.909270524979
   1.66, 0.981266319752
   1.67, 0.956986308098
   1.68, 0.946033060551
   1.69, 0.988200545311
    1.7, 1.07498121262
   1.71, 1.18420732021
   1.72, 1.28242230415
   1.73, 1.34104335308
   1.74, 1.36138939857
   1.75, 1.36774909496
   1.76, 1.38242101669
   1.77, 1.41867291927
   1.78, 1.48843765259
   1.79, 1.61415088177
    1.8, 1.82855582237
   1.81,  2.0395026207
   1.82, 2.01629543304
   1.83, 1.96004545689
   1.84,  1.9984369278
   1.85, 2.11615920067
   1.86, 2.29479885101
   1.87,  2.5029964447
   1.88, 2.66857457161
   1.89, 2.72937130928
    1.9, 2.71661520004
   1.91, 2.69468808174
   1.92, 2.69407629967
   1.93,  2.7243065834
   1.94,  2.8004887104
   1.95,  2.9723675251
   1.96, 3.29849147797
   1.97, 3.36986112595
   1.98, 3.20658516884
   1.99, 3.17518758774
      2, 3.24686813354
   2.01, 3.39718103409
   2.02, 3.62764358521
   2.03, 3.90902781487
   2.04, 4.09388113022
   2.05, 4.08339500427
   2.06, 3.99998259544
   2.07, 3.93395066261
   2.08, 3.89574146271
   2.09, 3.88478946686
    2.1, 3.92810845375
   2.11, 4.15245914459
   2.12, 4.41409873962
   2.13, 4.12970638275
   2.14, 3.98120188713
   2.15, 3.95018196106
   2.16,  3.9901061058
   2.17, 4.10482263565
   2.18, 4.32670497894
   2.19,  4.6245932579
    2.2, 4.70750045776
   2.21, 4.56735086441
   2.22, 4.43107414246
   2.23, 4.33007907867
   2.24, 4.24741888046
   2.25, 4.18390083313
   2.26, 4.21340513229
   2.27, 4.55074691772
   2.28, 4.23173093796
   2.29, 3.98474884033
    2.3, 3.85575175285
   2.31, 3.78140902519
   2.32, 3.75752067566
   2.33, 3.80982518196
   2.34, 4.00639009476
   2.35, 4.22559976578
   2.36, 4.07829904556
   2.37, 3.88891839981
   2.38, 3.75321364403
   2.39, 3.63797211647
    2.4, 3.52986288071
   2.41, 3.45377278328
   2.42, 3.68983244896
   2.43,  3.4468832016
   2.44, 3.18511080742
   2.45, 3.02994132042
   2.46, 2.91301560402
   2.47, 2.82894611359
   2.48, 2.79044485092
   2.49, 2.84332513809
    2.5, 3.07509899139
   2.51, 3.00628376007
   2.52, 2.80229735374
   2.53, 2.67872285843
   2.54, 2.58009505272
   2.55, 2.48882269859
   2.56, 2.41258716583
   2.57,  2.5528948307
   2.58, 2.42135167122
   2.59, 2.23341751099
    2.6, 2.13511776924
   2.61, 2.06406760216
   2.62, 2.01676177979
   2.63, 2.00163173676
   2.64, 2.04212927818
   2.65, 2.23896217346
   2.66, 2.33428025246
   2.67, 2.16916584969
   2.68, 2.11998581886
   2.69, 2.09209156036
    2.7, 2.06875395775
   2.71, 2.05539798737
   2.72, 2.18767690659
   2.73,  2.1832845211
   2.74, 2.11943531036
   2.75, 2.12780785561
   2.76, 2.15838265419
   2.77, 2.20790553093
   2.78, 2.28178167343
   2.79, 2.39352869987
    2.8, 2.60312747955
   2.81,  2.9095788002
   2.82, 2.82251310349
   2.83,  2.8835940361
   2.84, 2.95075917244
   2.85, 3.01179742813
   2.86, 3.07407569885
   2.87, 3.22093033791
   2.88, 3.35751461983
   2.89,  3.4113972187
    2.9, 3.51957893372
   2.91, 3.64657473564
   2.92, 3.78832817078
   2.93, 3.94724559784
   2.94, 4.13099765778
   2.95,  4.3658041954
   2.96,  4.8052854538
   2.97, 4.83986711502
   2.98, 5.00358486176
   2.99,  5.1429643631
      3, 5.25179243088
   3.01, 5.34282016754
   3.02,  5.4453792572
   3.03, 5.66335487366
   3.04, 5.76279163361
   3.05, 5.89854717255
   3.06, 6.04900360107
   3.07, 6.20955562592
   3.08, 6.37996387482
   3.09, 6.56385183334
    3.1, 6.77077960968
   3.11, 7.12344789505
   3.12, 7.28783655167
   3.13, 7.50602149963
   3.14, 7.67580032349
   3.15, 7.78547286987
   3.16, 7.85075378418
   3.17, 7.85225343704
   3.18, 8.04351425171
   3.19, 8.09283733368
    3.2, 8.15607833862
   3.21, 8.22462844849
   3.22, 8.29693031311
   3.23, 8.37363052368
   3.24, 8.45753955841
   3.25, 8.55401706696
   3.26, 8.63854980469
   3.27, 8.82392787933
   3.28, 8.99087905884
   3.29, 9.11870384216
    3.3, 9.17503356934
   3.31, 9.17210483551
   3.32, 9.18371582031
   3.33, 9.15849781036
   3.34, 9.12113189697
   3.35, 9.07961082458
   3.36, 9.03005886078
   3.37, 8.97167491913
   3.38,  8.9064283371
   3.39, 8.83961868286
    3.4, 8.78318214417
   3.41, 8.58208751678
   3.42, 8.66453933716
   3.43, 8.68995857239
   3.44,  8.7121963501
   3.45, 8.67615795135
   3.46, 8.57764720917
   3.47, 8.46111679077
   3.48, 8.34199237823
   3.49, 8.22265148163
    3.5, 8.10102272034
   3.51, 7.97270298004
   3.52, 7.83476448059
   3.53, 7.68674087524
   3.54, 7.53233671188
   3.55, 7.38831949234
   3.56,   7.097260952
   3.57,  7.0295214653
   3.58, 6.94084644318
   3.59, 6.88557052612
    3.6, 6.79974555969
   3.61, 6.64054346085
   3.62,   6.440554142
   3.63, 6.26479482651
   3.64, 6.10788536072
   3.65, 5.96226930618
   3.66, 5.82052516937
   3.67, 5.67861413956
   3.68, 5.53440237045
   3.69, 5.38811731339
    3.7, 5.25493526459
   3.71, 5.04254627228
   3.72, 4.92447662354
   3.73, 4.82987976074
   3.74, 4.80319166183
   3.75, 4.81452560425
   3.76, 4.78364801407
   3.77, 4.56758356094
   3.78,  4.4173746109
   3.79, 4.31068086624
    3.8, 4.23345851898
   3.81, 4.16675806046
   3.82, 4.10129928589
   3.83, 4.03682374954
   3.84, 3.97353768349
   3.85, 3.91263532639
   3.86,  3.8563849926
   3.87, 3.79509496689
   3.88,  3.7582449913
   3.89, 3.78431773186
    3.9, 3.93286466599
   3.91,  4.1302022934
   3.92, 4.09051656723
   3.93, 4.02425098419
   3.94, 4.01425981522
   3.95, 4.06722640991
   3.96, 4.15685224533
   3.97, 4.24843978882
   3.98, 4.32698965073
   3.99, 4.39329862595
      4, 4.40896558762
   4.01, 4.55460548401
   4.02, 4.60064220428
   4.03,  4.6468629837
   4.04, 4.70619773865
   4.05, 4.84129571915
   4.06, 5.22803211212
   4.07, 5.47299051285
   4.08, 5.50588321686
   4.09, 5.53637266159
    4.1,  5.6293759346
   4.11, 5.79811286926
   4.12, 6.01842355728
   4.13, 6.23640537262
   4.14,  6.4202466011
   4.15, 6.67832136154
   4.16, 6.79916286469
   4.17, 6.93965578079
   4.18, 7.06110095978
   4.19,  7.1565580368
    4.2, 7.33059310913
   4.21, 7.47879076004
   4.22, 7.95347690582
   4.23, 8.15293979645
   4.24, 8.20504665375
   4.25, 8.25098323822
   4.26,  8.3275976181
   4.27, 8.47160243988
   4.28, 8.68431568146
   4.29, 8.88447570801
    4.3, 9.12505626678
   4.31, 9.28426265717
   4.32, 9.42836952209
   4.33, 9.54958152771
   4.34, 9.63826084137
   4.35, 9.70642471313
   4.36, 9.71346664429
   4.37, 9.96370220184
   4.38,   10.33223629
   4.39, 10.4369430542
    4.4, 10.4715919495
   4.41, 10.4756422043
   4.42, 10.4588565826
   4.43, 10.4699144363
   4.44, 10.5521507263
   4.45,  10.698548317
   4.46, 10.7877426147
   4.47, 10.8413448334
   4.48,  10.865568161
   4.49, 10.7749662399
    4.5, 10.8493356705
   4.51, 10.7828941345
   4.52, 10.6518354416
   4.53,  10.849064827
   4.54,  10.964925766
   4.55, 10.9895505905
   4.56, 10.9859514236
   4.57, 10.9508466721
   4.58, 10.8522882462
   4.59, 10.7005720139
    4.6, 10.6750135422
   4.61,  10.696346283
   4.62,  10.681429863
   4.63, 10.6213283539
   4.64, 10.5252361298
   4.65,  10.415555954
   4.66, 10.2988414764
   4.67, 10.1425523758
   4.68, 9.91404533386
   4.69, 9.90536594391
    4.7, 9.86855602264
   4.71, 9.82928943634
   4.72, 9.80483627319
   4.73, 9.81953716278
   4.74, 9.67142105103
   4.75, 9.43297386169
   4.76, 9.35640621185
   4.77, 9.32980442047
   4.78, 9.27848339081
   4.79, 9.13991451263
    4.8, 8.99762535095
   4.81, 8.85695838928
   4.82, 8.75623226166
   4.83, 8.60412883759
   4.84,  8.3450088501
   4.85, 8.24499988556
   4.86, 8.16751480103
   4.87, 8.11909866333
   4.88, 8.10986423492
   4.89, 8.19521331787
    4.9, 8.15633296967
   4.91, 7.94402170181
   4.92,   7.926653862
   4.93, 7.91418123245
   4.94, 7.84534835815
   4.95, 7.72831583023
   4.96, 7.59397792816
   4.97, 7.48181581497
   4.98,  7.5856423378
   4.99, 7.33486270905
      5, 7.19220161438
   5.01, 7.11882781982
   5.02,  7.0789513588
   5.03, 7.05456638336
   5.04, 7.11349153519
   5.05, 7.36115455627
   5.06, 7.39458656311
   5.07, 7.37808942795
   5.08, 7.48457145691
   5.09,  7.5413146019
    5.1, 7.51648330688
   5.11, 7.43409776688
   5.12, 7.32115507126
   5.13, 7.25430965424
   5.14, 7.49406051636
   5.15, 7.30500555038
   5.16, 7.23873233795
   5.17, 7.20193433762
   5.18, 7.17617559433
   5.19, 7.16075515747
    5.2, 7.20890522003
   5.21, 7.61433315277
   5.22, 7.69563817978
   5.23, 7.87157440186
   5.24,  8.0814037323
   5.25, 8.21096134186
   5.26, 8.24832248688
   5.27, 8.21193504333
   5.28, 8.05625915527
   5.29, 8.58913040161
    5.3, 8.41761493683
   5.31, 8.35992050171
   5.32, 8.34196376801
   5.33, 8.31356334686
   5.34, 8.26106357574
   5.35, 8.15571880341
   5.36, 8.08180332184
   5.37, 8.53710365295
   5.38, 8.63317871094
   5.39, 8.84628105164
    5.4, 9.06181812286
   5.41, 9.19656181335
   5.42, 9.24869918823
   5.43,  9.1678609848
   5.44, 9.60401916504
   5.45, 9.60331249237
   5.46, 9.60413837433
   5.47, 9.62595653534
   5.48, 9.64078140259
   5.49, 9.62510299683
    5.5, 9.54152870178
   5.51,  9.2183675766
   5.52, 9.52369022369
   5.53, 9.57358169556
   5.54, 9.60857391357
   5.55, 9.74188041687
   5.56, 9.86509513855
   5.57, 9.92438793182
   5.58, 9.89065742493
   5.59,  9.9158821106
    5.6, 10.2128105164
   5.61,  10.246928215
   5.62, 10.3023328781
   5.63, 10.3593111038
   5.64, 10.4005050659
   5.65, 10.4030132294
   5.66, 10.2675428391
   5.67, 9.98236560822
   5.68, 10.3356494904
   5.69, 10.2625160217
    5.7, 10.2504415512
   5.71, 10.3101835251
   5.72, 10.3485832214
   5.73, 10.3183336258
   5.74, 9.83431625366
   5.75, 10.4490356445
   5.76,  10.471326828
   5.77, 10.5174226761
   5.78, 10.5734682083
   5.79, 10.6262083054
    5.8, 10.6608991623
   5.81, 10.6473903656
   5.82, 9.85298442841
   5.83, 10.6364116669
   5.84, 10.6184864044
   5.85, 10.5489435196
   5.86,  10.535982132
   5.87, 10.5714416504
   5.88, 10.5757875443
   5.89, 9.82036113739
    5.9, 10.6397790909
   5.91, 10.6581106186
   5.92, 10.7075147629
   5.93,  10.774971962
   5.94, 10.8388633728
   5.95, 10.8808269501
   5.96,  10.889582634
   5.97, 10.4209890366
   5.98, 10.8081130981
   5.99, 10.8347635269
      6, 10.8044376373
   6.01, 10.7536230087
   6.02, 10.7399435043
   6.03,  10.744187355
   6.04, 9.99046516418
   6.05,   10.79529953
   6.06, 10.8012981415
   6.07, 10.8441352844
   6.08, 10.9286327362
   6.09, 11.0314922333
    6.1, 11.1186532974
   6.11, 11.1650028229
