CDP Diameter, Qscat (1.33 + 0)
      2,  1.8780105114
   2.01, 1.84682822227
   2.02, 1.83132457733
   2.03, 1.83106815815
   2.04, 1.84196507931
   2.05, 1.85643279552
   2.06, 1.86562013626
   2.07, 1.86252963543
   2.08, 1.84390807152
   2.09, 1.80995070934
    2.1,   1.762840271
   2.11, 1.70547437668
   2.12, 1.64088869095
   2.13, 1.57217204571
   2.14,  1.5025562048
   2.15, 1.43552541733
   2.16, 1.37484180927
   2.17, 1.32448685169
   2.18,  1.2883991003
   2.19, 1.26977527142
    2.2, 1.26973462105
   2.21, 1.28559577465
   2.22,  1.3100464344
   2.23, 1.33295381069
   2.24, 1.34551072121
   2.25,  1.3434792757
   2.26, 1.32709884644
   2.27, 1.29889643192
   2.28, 1.26184308529
   2.29, 1.21875143051
    2.3, 1.17241966724
   2.31, 1.12589931488
   2.32, 1.08261287212
   2.33, 1.04634773731
   2.34, 1.02116191387
   2.35, 1.01117098331
   2.36, 1.02001988888
   2.37, 1.04966413975
   2.38, 1.09832847118
   2.39,  1.1587074995
    2.4, 1.21913254261
   2.41, 1.26887238026
   2.42, 1.30332875252
   2.43, 1.32397556305
   2.44, 1.33456432819
   2.45, 1.33829832077
   2.46, 1.33749520779
   2.47, 1.33437108994
   2.48, 1.33171117306
   2.49, 1.33301889896
    2.5, 1.34234201908
   2.51, 1.36403048038
   2.52, 1.40252184868
   2.53, 1.46195292473
   2.54, 1.54510295391
   2.55, 1.65111541748
   2.56, 1.77239143848
   2.57, 1.89433300495
   2.58, 2.00207448006
   2.59, 2.08984541893
    2.6, 2.16160154343
   2.61,  2.2238407135
   2.62, 2.28040790558
   2.63,  2.3326253891
   2.64, 2.38160514832
   2.65,  2.4297337532
   2.66, 2.48085618019
   2.67, 2.53961443901
   2.68, 2.61091566086
   2.69, 2.69966077805
    2.7, 2.81055784225
   2.71, 2.94764471054
   2.72, 3.11209440231
   2.73, 3.29790067673
   2.74, 3.48796629906
   2.75, 3.66016197205
   2.76, 3.80363178253
   2.77, 3.92473459244
   2.78, 4.03487300873
   2.79, 4.13951921463
    2.8, 4.23841810226
   2.81, 4.33038377762
   2.82, 4.41688203812
   2.83, 4.50231218338
   2.84, 4.59260988235
   2.85, 4.69384479523
   2.86, 4.81155443192
   2.87, 4.95099067688
   2.88, 5.11711072922
   2.89, 5.31376695633
    2.9, 5.53930187225
   2.91, 5.77877855301
   2.92, 6.00299072266
   2.93, 6.18977737427
   2.94, 6.34370183945
   2.95, 6.48199939728
   2.96, 6.61372470856
   2.97, 6.73713254929
   2.98, 6.84743261337
   2.99, 6.94361495972
      3, 7.03029489517
   3.01, 7.11521053314
   3.02, 7.20632982254
   3.03, 7.31041049957
   3.04, 7.43311977386
   3.05, 7.57988357544
   3.06, 7.75622415543
   3.07, 7.96574020386
   3.08, 8.20164489746
   3.09, 8.43612480164
    3.1, 8.63475131989
   3.11, 8.79297733307
   3.12, 8.93114566803
   3.13, 9.06263542175
   3.14, 9.18545722961
   3.15, 9.29060268402
   3.16, 9.37240695953
   3.17,  9.4334602356
   3.18, 9.48229503632
   3.19, 9.52856445312
    3.2, 9.58017921448
   3.21, 9.64331531525
   3.22, 9.72333526611
   3.23, 9.82599449158
   3.24, 9.95736217499
   3.25, 10.1189813614
   3.26, 10.2938737869
   3.27, 10.4453639984
   3.28, 10.5584211349
   3.29, 10.6517715454
    3.3, 10.7411746979
   3.31, 10.8254508972
   3.32, 10.8938579559
   3.33, 10.9369430542
   3.34, 10.9544382095
   3.35, 10.9542884827
   3.36, 10.9461317062
   3.37, 10.9373683929
   3.38, 10.9331245422
   3.39, 10.9375314713
    3.4, 10.9549570084
   3.41, 10.9903917313
   3.42, 11.0472459793
   3.43, 11.1166582108
   3.44, 11.1693706512
   3.45, 11.1907548904
   3.46, 11.1997146606
   3.47, 11.2099628448
   3.48, 11.2178878784
   3.49, 11.2112426758
    3.5, 11.1794204712
   3.51, 11.1229572296
   3.52, 11.0524950027
   3.53, 10.9788160324
   3.54, 10.9080400467
   3.55,  10.843132019
   3.56, 10.7864274979
   3.57, 10.7408485413
   3.58,  10.709982872
   3.59, 10.6953258514
    3.6, 10.6847772598
   3.61, 10.6445178986
   3.62, 10.5697851181
   3.63, 10.4972763062
   3.64, 10.4388637543
   3.65, 10.3825063705
   3.66, 10.3081388474
   3.67, 10.1977548599
   3.68, 10.0527544022
   3.69, 9.89465618134
    3.7, 9.74280452728
   3.71, 9.60424900055
   3.72, 9.47993469238
   3.73, 9.37057590485
   3.74, 9.27894020081
   3.75, 9.21014595032
   3.76, 9.16884422302
   3.77, 9.14142131805
   3.78, 9.06383705139
   3.79, 8.91637134552
    3.8, 8.78497600555
   3.81, 8.69624996185
   3.82, 8.62988948822
   3.83, 8.55566120148
   3.84,  8.4352350235
   3.85, 8.25057315826
   3.86, 8.03343677521
   3.87, 7.82490444183
   3.88, 7.63945627213
   3.89, 7.47625684738
    3.9, 7.33389043808
   3.91, 7.21514177322
   3.92, 7.12841081619
   3.93, 7.08854436874
   3.94, 7.10067415237
   3.95, 7.07378196716
   3.96, 6.89733362198
   3.97, 6.72073841095
   3.98, 6.62060403824
   3.99, 6.57650613785
      4, 6.55945253372
   4.01, 6.51797914505
   4.02, 6.38520765305
   4.03, 6.17055511475
   4.04, 5.94848918915
   4.05, 5.75590133667
   4.06, 5.59335041046
   4.07, 5.45592021942
   4.08, 5.34401893616
   4.09, 5.26670360565
    4.1,  5.2475066185
   4.11, 5.32756471634
   4.12, 5.44828367233
   4.13, 5.33078145981
   4.14, 5.13714122772
   4.15, 5.03802871704
   4.16, 5.02110815048
   4.17, 5.06991386414
   4.18, 5.15433979034
   4.19,  5.1696100235
    4.2, 5.03610229492
   4.21, 4.84233665466
   4.22, 4.67075681686
   4.23, 4.53315258026
   4.24, 4.42254638672
   4.25, 4.33576536179
   4.26, 4.27854585648
   4.27, 4.27465867996
   4.28, 4.39482736588
   4.29, 4.69551467896
    4.3, 4.74361848831
   4.31, 4.58092308044
   4.32, 4.50394535065
   4.33, 4.51475811005
   4.34, 4.60610532761
   4.35, 4.79211997986
   4.36, 5.00696229935
   4.37, 5.04915142059
   4.38, 4.93878316879
   4.39, 4.81700134277
    4.4, 4.72192382812
   4.41, 4.64896297455
   4.42, 4.59188222885
   4.43, 4.55086278915
   4.44, 4.54041099548
   4.45, 4.63248348236
   4.46, 5.03496217728
   4.47, 5.31065607071
   4.48, 5.21370887756
   4.49, 5.16710710526
    4.5, 5.19477033615
   4.51, 5.28750133514
   4.52, 5.48481607437
   4.53, 5.83298158646
   4.54, 6.10507297516
   4.55, 6.13176059723
   4.56, 6.08638572693
   4.57,  6.0481004715
   4.58, 6.02098798752
   4.59, 5.99819946289
    4.6, 5.97443580627
   4.61, 5.94977521896
   4.62, 5.96526861191
   4.63, 6.33149671555
   4.64, 6.83212995529
   4.65, 6.82082748413
   4.66, 6.80774736404
   4.67, 6.84353351593
   4.68, 6.91153097153
   4.69,  7.0365447998
    4.7, 7.35357570648
   4.71, 7.80931329727
   4.72, 7.99571371078
   4.73, 8.03148937225
   4.74, 8.04343605042
   4.75,  8.0510559082
   4.76, 8.05098438263
   4.77, 8.03538036346
   4.78, 7.99157857895
   4.79, 7.91204833984
    4.8, 8.10130691528
   4.81, 8.75503158569
   4.82, 8.82527160645
   4.83, 8.84372234344
   4.84, 8.88670539856
   4.85, 8.93421363831
   4.86, 8.97400379181
   4.87, 9.12288570404
   4.88, 9.62828159332
   4.89, 9.97225856781
    4.9, 10.0906953812
   4.91, 10.1479606628
   4.92,  10.181760788
   4.93,  10.194694519
   4.94, 10.1799144745
   4.95, 10.1175527573
   4.96, 9.95322418213
   4.97, 9.87261295319
   4.98, 10.5731430054
   4.99, 10.6847648621
      5, 10.7076158524
   5.01, 10.7368736267
   5.02, 10.7585477829
   5.03, 10.7318277359
   5.04, 10.6650876999
   5.05,  11.033613205
   5.06, 11.4887590408
   5.07, 11.6774663925
   5.08, 11.7776002884
   5.09, 11.8421287537
    5.1, 11.8794612885
   5.11, 11.8847036362
   5.12, 11.8360176086
   5.13, 11.6447563171
   5.14, 11.3057641983
   5.15, 12.0012207031
   5.16, 12.1237268448
   5.17, 12.1362142563
   5.18, 12.1382932663
   5.19, 12.1273946762
    5.2, 12.0567464828
   5.21, 11.8146743774
   5.22, 11.8910427094
   5.23, 12.3672647476
   5.24, 12.5746593475
   5.25,  12.682305336
   5.26, 12.7531652451
   5.27, 12.8010931015
   5.28, 12.8250598907
   5.29, 12.8067426682
    5.3, 12.6412382126
   5.31, 12.1270141602
   5.32, 12.8187770844
   5.33, 12.9531965256
   5.34, 12.9810504913
   5.35, 12.9872055054
   5.36, 12.9765415192
   5.37, 12.9116706848
   5.38, 12.6071519852
   5.39, 12.3777551651
    5.4, 12.8179836273
   5.41, 13.0019760132
   5.42, 13.0848827362
   5.43, 13.1324453354
   5.44, 13.1621799469
   5.45, 13.1777868271
   5.46, 13.1684045792
   5.47,  13.027015686
   5.48, 12.4421472549
   5.49, 13.0845432281
    5.5, 13.2142524719
   5.51,  13.264875412
   5.52,  13.296087265
   5.53, 13.3135080338
   5.54, 13.2926549911
   5.55, 13.0287752151
   5.56, 12.6055793762
   5.57, 13.0054664612
   5.58, 13.1622247696
   5.59, 13.2275829315
    5.6, 13.2603683472
   5.61, 13.2773752213
   5.62, 13.2843484879
   5.63, 13.2766675949
   5.64,  13.143910408
   5.65, 12.6541481018
   5.66, 13.1430282593
   5.67, 13.2465858459
   5.68, 13.3050775528
   5.69, 13.3546323776
    5.7, 13.3975610733
   5.71, 13.4182167053
   5.72, 13.2215080261
   5.73, 12.7389507294
   5.74,  13.084435463
   5.75, 13.2023162842
   5.76, 13.2476930618
   5.77, 13.2670888901
   5.78, 13.2740335464
   5.79, 13.2740077972
    5.8, 13.2651939392
   5.81, 13.1080083847
   5.82, 12.8512125015
