GRIMM Diameter, Qscat (1.54 + 0)
   0.01, 1.01381840423e-10
   0.02, 6.4931073851e-09
   0.03, 7.40431005397e-08
   0.04, 4.16660469682e-07
   0.05, 1.59241506026e-06
   0.06, 4.76505374536e-06
   0.07, 1.20432750919e-05
   0.08, 2.68975145445e-05
   0.09, 5.46507981198e-05
    0.1, 0.000103035003121
   0.11, 0.000182797302841
   0.12, 0.000308324466459
   0.13, 0.000498245935887
   0.14, 0.000775951135438
   0.15, 0.00116993149277
   0.16, 0.00171387381852
   0.17, 0.00244634412229
   0.18, 0.00341002480127
   0.19, 0.00465041771531
    0.2, 0.00621399795637
   0.21, 0.00814604107291
   0.22, 0.0104883741587
   0.23, 0.0132774878293
   0.24, 0.0165437813848
   0.25, 0.0203125551343
   0.26, 0.0246072746813
   0.27, 0.0294560343027
   0.28, 0.0349004082382
   0.29, 0.0410066954792
    0.3, 0.0478778034449
   0.31, 0.0556622967124
   0.32, 0.0645555853844
   0.33, 0.0747872963548
   0.34, 0.0865860283375
   0.35, 0.100117087364
   0.36, 0.11540170759
   0.37, 0.132242828608
   0.38, 0.15019620955
   0.39, 0.168624505401
    0.4, 0.186831712723
   0.41, 0.204222634435
   0.42, 0.220424890518
   0.43, 0.235334992409
   0.44, 0.249090239406
   0.45, 0.262011528015
   0.46, 0.274543374777
   0.47, 0.287222266197
   0.48, 0.300654768944
   0.49, 0.315503835678
    0.5, 0.332449048758
   0.51, 0.35208979249
   0.52, 0.374768674374
   0.53, 0.400353580713
   0.54, 0.428073555231
   0.55, 0.456560373306
   0.56, 0.484177440405
   0.57, 0.509494960308
   0.58, 0.53165948391
   0.59, 0.550492584705
    0.6, 0.566357254982
   0.61, 0.579931676388
   0.62, 0.592018246651
   0.63, 0.603437900543
   0.64, 0.614988327026
   0.65, 0.627449214458
   0.66, 0.641580581665
   0.67, 0.658094644547
   0.68, 0.677504837513
   0.69, 0.699875116348
    0.7, 0.724537134171
   0.71, 0.750027418137
   0.72, 0.77449631691
   0.73, 0.796374022961
   0.74, 0.814881801605
   0.75, 0.830079853535
   0.76, 0.842589735985
   0.77, 0.853283166885
   0.78, 0.863081693649
   0.79, 0.872874975204
    0.8, 0.883469641209
   0.81, 0.89556324482
   0.82, 0.909632205963
   0.83, 0.925782263279
   0.84, 0.94352543354
   0.85, 0.961632430553
   0.86, 0.978296279907
   0.87, 0.991805255413
   0.88, 1.00137960911
   0.89, 1.00741755962
    0.9, 1.01100623608
   0.91, 1.01333630085
   0.92, 1.01549136639
   0.93, 1.01856195927
   0.94, 1.02381968498
   0.95, 1.03284585476
   0.96,  1.0475577116
   0.97, 1.07010936737
   0.98, 1.10253751278
   0.99, 1.14589655399
      1, 1.19864976406
   1.01, 1.25475502014
   1.02, 1.30388128757
   1.03, 1.33679533005
   1.04,  1.3523888588
   1.05, 1.35729646683
   1.06,  1.3590182066
   1.07,  1.3616014719
   1.08, 1.36609089375
   1.09, 1.37253248692
    1.1, 1.38139235973
   1.11, 1.39417243004
   1.12, 1.41355395317
   1.13, 1.44328916073
   1.14, 1.48774290085
   1.15, 1.55044126511
   1.16, 1.63021683693
   1.17, 1.71488618851
   1.18, 1.78051793575
   1.19, 1.80964386463
    1.2, 1.81061446667
   1.21,  1.8044924736
   1.22, 1.80277812481
   1.23, 1.80492055416
   1.24, 1.80582714081
   1.25, 1.80171072483
   1.26, 1.79228198528
   1.27, 1.78072965145
   1.28, 1.77288472652
   1.29,  1.7765648365
    1.3, 1.80125117302
   1.31, 1.85650038719
   1.32, 1.94444191456
   1.33, 2.04148101807
   1.34, 2.09457278252
   1.35,  2.0815911293
   1.36, 2.04567170143
   1.37, 2.02907800674
   1.38, 2.03795599937
   1.39, 2.05822110176
    1.4, 2.07321405411
