PCASP Diameter, Qscat (1.54 + 0.003)
   0.01, 1.44913053779e-10
   0.02, 9.28133037092e-09
   0.03, 1.0584928134e-07
   0.04, 5.95685605731e-07
   0.05, 2.27682085097e-06
   0.06, 6.81359506416e-06
   0.07, 1.722145862e-05
   0.08, 3.84614395443e-05
   0.09, 7.81371782068e-05
    0.1, 0.000147277620272
   0.11, 0.000261177425273
   0.12, 0.000440239789896
   0.13, 0.000710750173312
   0.14, 0.00110547139775
   0.15, 0.00166392652318
   0.16, 0.00243219197728
   0.17, 0.00346209155396
   0.18, 0.00480958633125
   0.19, 0.00653240596876
    0.2, 0.00868699327111
   0.21, 0.011325141415
   0.22, 0.0144908605143
   0.23, 0.0182185601443
   0.24, 0.0225332453847
   0.25, 0.0274536982179
   0.26, 0.0329999551177
   0.27, 0.0392041280866
   0.28, 0.0461247600615
   0.29, 0.0538619682193
    0.3, 0.0625698119402
   0.31, 0.0724581927061
   0.32, 0.0837770476937
   0.33, 0.0967709422112
   0.34, 0.111599750817
   0.35, 0.128239139915
   0.36, 0.146393224597
   0.37, 0.16547742486
   0.38, 0.184704348445
   0.39, 0.203256204724
    0.4, 0.220470786095
   0.41, 0.235958620906
   0.42, 0.249627113342
   0.43, 0.261634379625
   0.44, 0.272321641445
   0.45, 0.282160520554
   0.46,  0.2917291224
   0.47, 0.30170404911
   0.48, 0.312843680382
   0.49, 0.325926631689
    0.5, 0.341598570347
   0.51, 0.360137313604
   0.52, 0.381210416555
   0.53, 0.403796643019
   0.54, 0.426414191723
   0.55, 0.447593063116
   0.56, 0.466322690248
   0.57, 0.48226082325
   0.58, 0.495649188757
   0.59, 0.507101297379
    0.6, 0.517384588718
   0.61, 0.527286529541
   0.62, 0.537558197975
   0.63, 0.548920869827
   0.64, 0.562084019184
   0.65, 0.577704548836
   0.66, 0.596236765385
   0.67, 0.617629230022
   0.68, 0.641038835049
   0.69, 0.664864599705
    0.7, 0.687264502048
   0.71, 0.706874489784
   0.72, 0.723213911057
   0.73, 0.736636698246
   0.74, 0.748034060001
   0.75, 0.758559763432
   0.76, 0.769455909729
   0.77, 0.781965911388
   0.78, 0.797239601612
   0.79, 0.816203057766
    0.8, 0.839335918427
   0.81, 0.866373121738
   0.82, 0.896031677723
   0.83, 0.926060497761
   0.84, 0.95389342308
   0.85, 0.977761685848
   0.86, 0.997311651707
   0.87, 1.01328766346
   0.88, 1.02684414387
   0.89, 1.03917562962
    0.9, 1.05151045322
   0.91, 1.06524348259
   0.92, 1.08201003075
   0.93, 1.10366082191
   0.94, 1.13203310966
   0.95, 1.16839373112
   0.96, 1.21241283417
   0.97,  1.2608089447
   0.98, 1.30688226223
   0.99, 1.34323561192
