Cdia, CQs, CSQs, Mdia, MQs, MSQs
0.000000, 0.000000, -0.810978, 0.000000, 0.000000, 0.043369
0.050000, 0.000001, -0.784848, 0.000000, 0.000000, 0.049288
0.060000, 0.000003, -0.758881, 0.060000, 0.000008, 0.055346
0.070000, 0.000007, -0.733074, 0.070000, 0.000020, 0.061541
0.080000, 0.000016, -0.707426, 0.080000, 0.000045, 0.067873
0.090000, 0.000032, -0.681936, 0.090000, 0.000091, 0.074342
0.100000, 0.000060, -0.656602, 0.100000, 0.000172, 0.080949
0.110000, 0.000105, -0.631422, 0.110000, 0.000306, 0.087692
0.120000, 0.000176, -0.606396, 0.120000, 0.000516, 0.094571
0.130000, 0.000282, -0.581520, 0.130000, 0.000835, 0.101587
0.140000, 0.000434, -0.556794, 0.140000, 0.001301, 0.108738
0.150000, 0.000648, -0.532216, 0.150000, 0.001962, 0.116025
0.160000, 0.000940, -0.507785, 0.160000, 0.002874, 0.123447
0.170000, 0.001328, -0.483499, 0.170000, 0.004099, 0.131004
0.180000, 0.001832, -0.459356, 0.180000, 0.005705, 0.138696
0.190000, 0.002475, -0.435355, 0.190000, 0.007760, 0.146523
0.200000, 0.003277, -0.411495, 0.200000, 0.010332, 0.154484
0.210000, 0.004259, -0.387773, 0.210000, 0.013483, 0.162578
0.220000, 0.005441, -0.364189, 0.220000, 0.017264, 0.170807
0.230000, 0.006839, -0.340740, 0.230000, 0.021716, 0.179169
0.240000, 0.008467, -0.317426, 0.240000, 0.026870, 0.187664
0.250000, 0.010334, -0.294245, 0.250000, 0.032755, 0.196292
0.260000, 0.012445, -0.271195, 0.260000, 0.039411, 0.205053
0.270000, 0.014803, -0.248275, 0.270000, 0.046907, 0.213946
0.280000, 0.017408, -0.225484, 0.280000, 0.055363, 0.222972
0.290000, 0.020258, -0.202819, 0.290000, 0.064971, 0.232129
0.300000, 0.023354, -0.180280, 0.300000, 0.076012, 0.241418
0.310000, 0.026702, -0.157866, 0.310000, 0.088838, 0.250839
0.320000, 0.030313, -0.135573, 0.320000, 0.103820, 0.260391
0.330000, 0.034206, -0.113402, 0.330000, 0.121227, 0.270074
0.340000, 0.038410, -0.091351, 0.340000, 0.141061, 0.279888
0.350000, 0.042959, -0.069418, 0.350000, 0.162897, 0.289832
0.360000, 0.047896, -0.047601, 0.360000, 0.185845, 0.299907
0.370000, 0.053259, -0.025901, 0.370000, 0.208708, 0.310112
0.380000, 0.059080, -0.004314, 0.380000, 0.230307, 0.320446
0.390000, 0.065372, 0.017160, 0.390000, 0.249792, 0.330910
0.400000, 0.072125, 0.038522, 0.400000, 0.266795, 0.341504
0.410000, 0.079294, 0.059775, 0.410000, 0.281392, 0.352227
0.420000, 0.086802, 0.080919, 0.420000, 0.293968, 0.363078
0.430000, 0.094540, 0.101956, 0.430000, 0.305091, 0.374058
0.440000, 0.102378, 0.122887, 0.440000, 0.315434, 0.385167
0.450000, 0.110181, 0.143713, 0.450000, 0.325762, 0.396404
0.460000, 0.117821, 0.164437, 0.460000, 0.336955, 0.407769
0.470000, 0.125198, 0.185058, 0.470000, 0.350004, 0.419262
0.480000, 0.132245, 0.205579, 0.480000, 0.365915, 0.430882
0.490000, 0.138943, 0.226001, 0.490000, 0.385444, 0.442630
0.500000, 0.145319, 0.246326, 0.500000, 0.408660, 0.454505
0.510000, 0.151447, 0.266553, 0.510000, 0.434566, 0.466506
0.520000, 0.157441, 0.286686, 0.520000, 0.461163, 0.478635
0.530000, 0.163450, 0.306724, 0.530000, 0.486144, 0.490890
0.540000, 0.169641, 0.326670, 0.540000, 0.507807, 0.503271
0.550000, 0.176187, 0.346524, 0.550000, 0.525567, 0.515778
0.560000, 0.183239, 0.366289, 0.560000, 0.539854, 0.528412
0.570000, 0.190911, 0.385964, 0.570000, 0.551683, 0.541171
0.580000, 0.199249, 0.405552, 0.580000, 0.562248, 0.554055
0.590000, 0.208221, 0.425054, 0.590000, 0.572674, 0.567064
0.600000, 0.217703, 0.444471, 0.600000, 0.583943, 0.580199
0.610000, 0.227498, 0.463804, 0.610000, 0.596910, 0.593458
